,Unnamed: 0.1,Unnamed: 0,CLIENT,NAME,PRODUCT_TYPE,ACTION,ACTION.1,DATE_TRANSACTION,QTY,UNIT_PRICE,ISIN_CODE,STOCK_LIBELLE,CURRENCY,TOTAL_AMOUNT,ACTION_TYPE,'CHF_'||CURRENCY,RATE_EUR,RATE_USD
0,0,7,Persona2,RWE ORD,SHARE,Sell,S,2023-10-05 10:56:17,25.0,32.98,DE0007037129,Germany,EUR,824.5,Trading,CHF_EUR,1.0,1.050435
1,1,8,Persona2,RWE ORD,SHARE,Buy,B,2023-10-03 09:33:04,25.0,33.12,DE0007037129,Germany,EUR,828.0,Trading,CHF_EUR,1.0,1.04716
2,2,9,Persona2,MERCEDES-BENZ GROUP N ORD,SHARE,Buy,B,2023-10-09 10:58:13,20.0,63.35,DE0007100000,Germany,EUR,1267.0,Trading,CHF_EUR,1.0,1.05399
3,3,10,Persona2,MERCEDES-BENZ GROUP N ORD,SHARE,Sell,S,2023-10-20 09:57:44,20.0,62.81,DE0007100000,Germany,EUR,1256.2,Trading,CHF_EUR,1.0,1.05736
4,4,11,Persona2,MERCEDES-BENZ GROUP N ORD,SHARE,Sell,S,2023-10-19 09:47:29,10.0,62.78,DE0007100000,Germany,EUR,627.8,Trading,CHF_EUR,1.0,1.05383
5,5,12,Persona2,MERCEDES-BENZ GROUP N ORD,SHARE,Buy,B,2023-10-16 12:58:18,10.0,64.28,DE0007100000,Germany,EUR,642.8,Trading,CHF_EUR,1.0,1.05321
6,6,155,Persona2,VEOLIA ENVIRONNEMENT VE ORD,SHARE,Sell,S,2023-10-19 09:53:26,20.0,25.53,FR0000124141,Euronext Paris,EUR,510.6,Trading,CHF_EUR,1.0,1.053995
7,7,156,Persona2,VEOLIA ENVIRONNEMENT VE ORD,SHARE,Sell,S,2023-10-19 09:47:03,20.0,25.51,FR0000124141,Euronext Paris,EUR,510.2,Trading,CHF_EUR,1.0,1.053715
8,8,157,Persona2,VEOLIA ENVIRONNEMENT VE ORD,SHARE,Buy,B,2023-10-16 13:00:20,40.0,25.88,FR0000124141,Euronext Paris,EUR,1035.2,Trading,CHF_EUR,1.0,1.053155
9,9,158,Persona2,LINDE ORD,SHARE,Buy,B,2023-10-10 10:58:06,4.0,354.5,IE000S9YS762,Germany,EUR,1418.0,Trading,CHF_EUR,1.0,1.06041
10,10,159,Persona2,LINDE ORD,SHARE,Sell,S,2023-10-23 11:54:35,2.5,342.2,IE000S9YS762,Germany,EUR,855.5,Trading,CHF_EUR,1.0,1.059455
11,11,160,Persona2,LINDE ORD,SHARE,Sell,S,2023-10-20 09:58:27,1.5,347.25,IE000S9YS762,Germany,EUR,520.875,Trading,CHF_EUR,1.0,1.057125
12,12,161,Persona2,ENI ORD,SHARE,Sell,S,2023-10-16 16:40:18,70.0,15.504,IT0003132476,Milano exchange,EUR,1085.28,Trading,CHF_EUR,1.0,1.054645
13,13,162,Persona2,ENI ORD,SHARE,Buy,B,2023-10-16 13:01:36,70.0,15.558,IT0003132476,Milano exchange,EUR,1089.06,Trading,CHF_EUR,1.0,1.05316
14,14,168,Persona2,AIRBUS ORD,SHARE,Buy,B,2023-10-24 09:17:08,4.0,123.18,NL0000235190,Euronext Paris,EUR,492.72,Trading,CHF_EUR,1.0,1.06823
15,15,169,Persona2,AIRBUS ORD,SHARE,Sell,S,2023-11-03 16:05:20,2.0,129.1,NL0000235190,Euronext Paris,EUR,258.2,Trading,CHF_EUR,1.0,1.071985
16,16,170,Persona2,AIRBUS ORD,SHARE,Buy,B,2023-10-20 12:30:16,8.0,121.7,NL0000235190,Euronext Paris,EUR,973.6,Trading,CHF_EUR,1.0,1.058545
17,17,171,Persona2,AIRBUS ORD,SHARE,Buy,B,2023-10-03 09:32:08,8.0,124.82,NL0000235190,Euronext Paris,EUR,998.56,Trading,CHF_EUR,1.0,1.0471
18,18,172,Persona2,AIRBUS ORD,SHARE,Sell,S,2023-10-16 11:48:49,8.0,121.84,NL0000235190,Euronext Paris,EUR,974.72,Trading,CHF_EUR,1.0,1.05355
19,19,173,Persona2,AT&T ORD,SHARE,Buy,B,2023-10-09 18:52:38,50.0,14.66,US00206R1023,New York Stock Exchange (NYSE),USD,733.0,Trading,CHF_USD,0.94896,1.0
20,20,174,Persona2,AT&T ORD,SHARE,Sell,S,2023-11-03 17:57:16,15.0,15.93,US00206R1023,New York Stock Exchange (NYSE),USD,238.95,Trading,CHF_USD,0.931428,1.0
21,21,175,Persona2,AT&T ORD,SHARE,Buy,B,2023-09-11 20:39:31,70.0,14.52,US00206R1023,New York Stock Exchange (NYSE),USD,1016.4,Trading,CHF_USD,0.930202,1.0
22,22,176,Persona2,AT&T ORD,SHARE,Sell,S,2023-10-18 19:16:42,20.0,14.47,US00206R1023,New York Stock Exchange (NYSE),USD,289.4,Trading,CHF_USD,0.947629,1.0
23,23,177,Persona2,AT&T ORD,SHARE,Sell,S,2023-10-16 16:31:50,60.0,14.34,US00206R1023,New York Stock Exchange (NYSE),USD,860.4,Trading,CHF_USD,0.948416,1.0
24,24,201,Persona2,BLACKROCK ORD,SHARE,Sell,S,2023-10-13 18:08:20,3.0,628.07,US09247X1019,New York Stock Exchange (NYSE),USD,1884.21,Trading,CHF_USD,0.951833,1.0
25,25,202,Persona2,CHEVRON ORD,SHARE,Sell,S,2023-10-24 15:48:37,14.4115,160.11,US1667641005,New York Stock Exchange (NYSE),USD,2307.425265,Trading,CHF_USD,0.943152,1.0
26,26,203,Persona2,CHEVRON ORD,SHARE,Buy,B,2023-10-09 18:53:20,5.0,166.57,US1667641005,New York Stock Exchange (NYSE),USD,832.85,Trading,CHF_USD,0.94905,1.0
