,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,CLIENT,NAME,PRODUCT_TYPE,ACTION,ACTION.1,DATE_TRANSACTION,QTY,UNIT_PRICE,ISIN_CODE,STOCK_LIBELLE,CURRENCY,TOTAL_AMOUNT,ACTION_TYPE,'CHF_'||CURRENCY,RATE_EUR,RATE_USD,StockFeature_exchange,StockFeature_quoteType,StockFeature_symbol,StockFeature_underlyingSymbol,StockFeature_firstTradeDateEpochUtc,StockFeature_timeZoneFullName,StockFeature_timeZoneShortName,StockFeature_uuid,StockFeature_gmtOffSetMilliseconds,StockFeature_maxAge,StockFeature_trailingPegRatio,StockFeature_priceHint,StockFeature_previousClose,StockFeature_open,StockFeature_dayLow,StockFeature_dayHigh,StockFeature_regularMarketPreviousClose,StockFeature_regularMarketOpen,StockFeature_regularMarketDayLow,StockFeature_regularMarketDayHigh,StockFeature_volume,StockFeature_regularMarketVolume,StockFeature_averageVolume,StockFeature_averageVolume10days,StockFeature_averageDailyVolume10Day,StockFeature_bid,StockFeature_ask,StockFeature_bidSize,StockFeature_askSize,StockFeature_fiftyTwoWeekLow,StockFeature_fiftyTwoWeekHigh,StockFeature_fiftyDayAverage,StockFeature_twoHundredDayAverage,StockFeature_currency,StockFeature_shortName,StockFeature_longName,StockFeature_messageBoardId,StockFeature_address1,StockFeature_city,StockFeature_zip,StockFeature_country,StockFeature_phone,StockFeature_website,StockFeature_industry,StockFeature_industryKey,StockFeature_industryDisp,StockFeature_sector,StockFeature_sectorKey,StockFeature_sectorDisp,StockFeature_longBusinessSummary,StockFeature_fullTimeEmployees,StockFeature_companyOfficers,StockFeature_auditRisk,StockFeature_boardRisk,StockFeature_compensationRisk,StockFeature_shareHolderRightsRisk,StockFeature_overallRisk,StockFeature_governanceEpochDate,StockFeature_compensationAsOfEpochDate,StockFeature_dividendRate,StockFeature_dividendYield,StockFeature_exDividendDate,StockFeature_payoutRatio,StockFeature_fiveYearAvgDividendYield,StockFeature_beta,StockFeature_trailingPE,StockFeature_forwardPE,StockFeature_marketCap,StockFeature_priceToSalesTrailing12Months,StockFeature_trailingAnnualDividendRate,StockFeature_trailingAnnualDividendYield,StockFeature_enterpriseValue,StockFeature_profitMargins,StockFeature_floatShares,StockFeature_sharesOutstanding,StockFeature_sharesShort,StockFeature_sharesShortPriorMonth,StockFeature_sharesShortPreviousMonthDate,StockFeature_dateShortInterest,StockFeature_sharesPercentSharesOut,StockFeature_heldPercentInsiders,StockFeature_heldPercentInstitutions,StockFeature_shortRatio,StockFeature_shortPercentOfFloat,StockFeature_impliedSharesOutstanding,StockFeature_bookValue,StockFeature_priceToBook,StockFeature_lastFiscalYearEnd,StockFeature_nextFiscalYearEnd,StockFeature_mostRecentQuarter,StockFeature_earningsQuarterlyGrowth,StockFeature_netIncomeToCommon,StockFeature_trailingEps,StockFeature_forwardEps,StockFeature_pegRatio,StockFeature_lastSplitFactor,StockFeature_lastSplitDate,StockFeature_enterpriseToRevenue,StockFeature_enterpriseToEbitda,StockFeature_52WeekChange,StockFeature_SandP52WeekChange,StockFeature_lastDividendValue,StockFeature_lastDividendDate,StockFeature_currentPrice,StockFeature_targetHighPrice,StockFeature_targetLowPrice,StockFeature_targetMeanPrice,StockFeature_targetMedianPrice,StockFeature_recommendationMean,StockFeature_recommendationKey,StockFeature_numberOfAnalystOpinions,StockFeature_totalCash,StockFeature_totalCashPerShare,StockFeature_ebitda,StockFeature_totalDebt,StockFeature_quickRatio,StockFeature_currentRatio,StockFeature_totalRevenue,StockFeature_debtToEquity,StockFeature_revenuePerShare,StockFeature_returnOnAssets,StockFeature_returnOnEquity,StockFeature_grossProfits,StockFeature_freeCashflow,StockFeature_operatingCashflow,StockFeature_earningsGrowth,StockFeature_revenueGrowth,StockFeature_grossMargins,StockFeature_ebitdaMargins,StockFeature_operatingMargins,StockFeature_financialCurrency,StockFeature_fax,StockFeature_state,StockFeature_address2
0,0,0,7,Persona2,RWE ORD,SHARE,Sell,S,2023-10-05 10:56:17,25.0,32.98,DE0007037129,Germany,EUR,824.5,Trading,CHF_EUR,1.0,1.050435,NMS,ECNQUOTE,RWE,RWE,975335400.0,America/New_York,EST,b6a96f1a-4a8d-365a-9db3-eea1287618ce,-18000000.0,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,8,Persona2,RWE ORD,SHARE,Buy,B,2023-10-03 09:33:04,25.0,33.12,DE0007037129,Germany,EUR,828.0,Trading,CHF_EUR,1.0,1.04716,NMS,ECNQUOTE,RWE,RWE,975335400.0,America/New_York,EST,b6a96f1a-4a8d-365a-9db3-eea1287618ce,-18000000.0,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,9,Persona2,MERCEDES-BENZ GROUP N ORD,SHARE,Buy,B,2023-10-09 10:58:13,20.0,63.35,DE0007100000,Germany,EUR,1267.0,Trading,CHF_EUR,1.0,1.05399,PCX,ETF,MBG,MBG,1233325800.0,America/New_York,EST,25905934-faeb-3ab3-8fa0-11349ebfca32,-18000000.0,86400,,2.0,26.2,0.0,26.1702,26.23,26.2,0.0,26.1702,26.23,41409.0,41409.0,0.0,0.0,0.0,0.0,0.0,1300.0,1200.0,26.1702,26.23,26.23,26.23,USD,SPDR Bloomberg Barclays Mortgag,SPDR Bloomberg Barclays Mortgage Backed Bond ETF,finmb_52508821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,10,Persona2,MERCEDES-BENZ GROUP N ORD,SHARE,Sell,S,2023-10-20 09:57:44,20.0,62.81,DE0007100000,Germany,EUR,1256.2,Trading,CHF_EUR,1.0,1.05736,PCX,ETF,MBG,MBG,1233325800.0,America/New_York,EST,25905934-faeb-3ab3-8fa0-11349ebfca32,-18000000.0,86400,,2.0,26.2,0.0,26.1702,26.23,26.2,0.0,26.1702,26.23,41409.0,41409.0,0.0,0.0,0.0,0.0,0.0,1300.0,1200.0,26.1702,26.23,26.23,26.23,USD,SPDR Bloomberg Barclays Mortgag,SPDR Bloomberg Barclays Mortgage Backed Bond ETF,finmb_52508821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,11,Persona2,MERCEDES-BENZ GROUP N ORD,SHARE,Sell,S,2023-10-19 09:47:29,10.0,62.78,DE0007100000,Germany,EUR,627.8,Trading,CHF_EUR,1.0,1.05383,PCX,ETF,MBG,MBG,1233325800.0,America/New_York,EST,25905934-faeb-3ab3-8fa0-11349ebfca32,-18000000.0,86400,,2.0,26.2,0.0,26.1702,26.23,26.2,0.0,26.1702,26.23,41409.0,41409.0,0.0,0.0,0.0,0.0,0.0,1300.0,1200.0,26.1702,26.23,26.23,26.23,USD,SPDR Bloomberg Barclays Mortgag,SPDR Bloomberg Barclays Mortgage Backed Bond ETF,finmb_52508821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,12,Persona2,MERCEDES-BENZ GROUP N ORD,SHARE,Buy,B,2023-10-16 12:58:18,10.0,64.28,DE0007100000,Germany,EUR,642.8,Trading,CHF_EUR,1.0,1.05321,PCX,ETF,MBG,MBG,1233325800.0,America/New_York,EST,25905934-faeb-3ab3-8fa0-11349ebfca32,-18000000.0,86400,,2.0,26.2,0.0,26.1702,26.23,26.2,0.0,26.1702,26.23,41409.0,41409.0,0.0,0.0,0.0,0.0,0.0,1300.0,1200.0,26.1702,26.23,26.23,26.23,USD,SPDR Bloomberg Barclays Mortgag,SPDR Bloomberg Barclays Mortgage Backed Bond ETF,finmb_52508821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,155,Persona2,VEOLIA ENVIRONNEMENT VE ORD,SHARE,Sell,S,2023-10-19 09:53:26,20.0,25.53,FR0000124141,Euronext Paris,EUR,510.6,Trading,CHF_EUR,1.0,1.053995,,NONE,VIE,VIE,,,,f8829105-0708-3f26-a022-a163e83d6010,,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,156,Persona2,VEOLIA ENVIRONNEMENT VE ORD,SHARE,Sell,S,2023-10-19 09:47:03,20.0,25.51,FR0000124141,Euronext Paris,EUR,510.2,Trading,CHF_EUR,1.0,1.053715,,NONE,VIE,VIE,,,,f8829105-0708-3f26-a022-a163e83d6010,,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,157,Persona2,VEOLIA ENVIRONNEMENT VE ORD,SHARE,Buy,B,2023-10-16 13:00:20,40.0,25.88,FR0000124141,Euronext Paris,EUR,1035.2,Trading,CHF_EUR,1.0,1.053155,,NONE,VIE,VIE,,,,f8829105-0708-3f26-a022-a163e83d6010,,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,158,Persona2,LINDE ORD,SHARE,Buy,B,2023-10-10 10:58:06,4.0,354.5,IE000S9YS762,Germany,EUR,1418.0,Trading,CHF_EUR,1.0,1.06041,NMS,EQUITY,LIN,LIN,708787800.0,America/New_York,EST,90c3fd5e-e0c6-3471-8ac3-9b5f9a4ffae2,-18000000.0,86400,2.9587,2.0,412.495,412.45,409.97,415.05,412.495,412.45,409.97,415.05,1823780.0,1823780.0,1441480.0,1624120.0,1624120.0,411.71,420.0,900.0,800.0,302.17,416.19,386.427,371.63135,USD,Linde plc,Linde plc,finmb_318049,"Forge, 43 Church Street West",Woking,GU21 6HT,United Kingdom,44 14 8324 2200,https://www.linde.com,Specialty Chemicals,specialty-chemicals,Specialty Chemicals,Basic Materials,basic-materials,Basic Materials,"Linde plc operates as an industrial gas company in North and South America, Europe, the Middle East, Africa, and the Asia Pacific. It offers atmospheric gases, including oxygen, nitrogen, argon, and rare gases; and process gases, such as carbon dioxide, helium, hydrogen, electronic gases, specialty gases, and acetylene. The company also designs and constructs turnkey process plants for third-party customers, as well as for the gas businesses in various locations, such as air separation, hydrogen, synthesis, olefin, and natural gas plants. It serves a range of industries, including healthcare, chemicals and energy, manufacturing, metals and mining, food and beverage, and electronics. The company was founded in 1879 and is based in Woking, the United Kingdom.",66442.0,"[{'maxAge': 1, 'name': 'Mr. Sanjiv  Lamba', 'age': 58, 'title': 'CEO & Director', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 6032011, 'exercisedValue': 893876, 'unexercisedValue': 10875832}, {'maxAge': 1, 'name': 'Mr. Matthew J. White', 'age': 50, 'title': 'Executive VP & CFO', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 2463539, 'exercisedValue': 0, 'unexercisedValue': 65721996}, {'maxAge': 1, 'name': 'Mr. Guillermo  Bichara', 'age': 47, 'title': 'Executive VP & Chief Legal Officer', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 1895249, 'exercisedValue': 0, 'unexercisedValue': 22210416}, {'maxAge': 1, 'name': 'Mr. John Mathew Panikar', 'age': 54, 'title': 'Executive Vice President of APAC', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 3129658, 'exercisedValue': 0, 'unexercisedValue': 2082044}, {'maxAge': 1, 'name': 'Mr. Sean F. Durbin', 'age': 51, 'title': 'Executive Vice President of North America', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 3197827, 'exercisedValue': 0, 'unexercisedValue': 6362835}, {'maxAge': 1, 'name': 'Mr. Luiz  Oliveira', 'title': 'Vice President of Operations, Excellence & Productivity', 'fiscalYear': 2022, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Kelcey E. Hoyt', 'age': 52, 'title': 'VP & Chief Accounting Officer', 'yearBorn': 1970, 'fiscalYear': 2022, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'John  van der Velden', 'title': 'Senior Vice President of Engineering Sales & Technology', 'fiscalYear': 2022, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Sandeep  Sen', 'title': 'Chief Information Officer', 'fiscalYear': 2022, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Juan  Pelaez', 'title': 'Vice President of Investor Relations', 'fiscalYear': 2022, 'exercisedValue': 0, 'unexercisedValue': 0}]",8.0,9.0,4.0,4.0,7.0,1701388800.0,1672444800.0,5.1,0.0124,1701388800.0,0.4132,1.54,0.894,34.02479,26.68179,199629209600.0,6.151712,4.995,0.012109238,215078420480.0,0.1844,483750993.0,484889984.0,3338059.0,2871336.0,1697155200.0,1700006400.0,0.0069,0.00195,0.86477995,2.25,0.0069,484889984.0,80.22,5.132137,1672444800.0,1703980800.0,1696032000.0,0.229,5984000000.0,12.1,15.43,2.45,2:1,1071532800.0,6.628,18.236,0.23167598,0.14899075,1.275,1701388800.0,411.7,480.0,347.0,428.38,430.0,2.0,buy,25.0,3894000128.0,8.031,11793999872.0,18002999296.0,0.617,0.829,32451000320.0,44.741,66.15,0.06549,0.15474,13914000000.0,3832875008.0,8673000448.0,0.256,-0.073,0.4611,0.36344,0.25653,USD,,,
