,Unnamed: 0.1,Unnamed: 0,CLIENT,NAME,PRODUCT_TYPE,ACTION,ACTION.1,DATE_TRANSACTION,QTY,UNIT_PRICE,ISIN_CODE,STOCK_LIBELLE,CURRENCY,TOTAL_AMOUNT,ACTION_TYPE,'CHF_'||CURRENCY,RATE_EUR,RATE_USD
0,0,18,200341,CISCO SYSTEMS ORD,SHARE,Buy,B,2002-05-07 18:43:37,5.0,13.04,US17275R1023,NASDAQ New York,USD,65.2,Trading,CHF_USD,1.09295589922947,1.0
1,1,19,200341,CISCO SYSTEMS ORD,SHARE,Sell,S,2002-05-07 18:44:07,5.0,13.05,US17275R1023,NASDAQ New York,USD,65.25,Trading,CHF_USD,1.09295589922947,1.0
2,2,60,200341,SAP AG ST O.N.,SHARE,Buy,B,2002-10-23 14:03:10,5.0,68.96,DE0007164600,Xetra,EUR,344.8,Trading,CHF_EUR,1.0,0.97725
3,3,61,200341,SAP AG ST O.N.,SHARE,Sell,S,2002-10-23 14:51:56,5.0,68.94,DE0007164600,Xetra,EUR,344.7,Trading,CHF_EUR,1.0,0.97665
4,4,115,200341,CITIZENS INC,SHARE,Buy,B,2003-01-21 20:30:50,100.0,7.04,US1747401008,New York Stock Exchange (NYSE),USD,704.0,Trading,CHF_USD,0.932270544912134,1.0
5,5,116,200341,PROCTER & GAMBLE ORD,SHARE,Buy,B,2003-01-21 20:41:17,30.0,86.87,US7427181091,New York Stock Exchange (NYSE),USD,2606.1,Trading,CHF_USD,0.933009889904833,1.0
6,6,117,200341,PROCTER & GAMBLE ORD,SHARE,Sell,S,2003-01-22 19:00:46,30.0,85.5,US7427181091,New York Stock Exchange (NYSE),USD,2565.0,Trading,CHF_USD,0.932531356366858,1.0
7,7,122,200341,ORACLE ORD,SHARE,Buy,B,2003-01-24 19:18:58,200.0,11.72,US68389X1054,NASDAQ New York,USD,2344.0,Trading,CHF_USD,0.922126423532666,1.0
8,8,130,200341,CITIZENS INC,SHARE,Sell,S,2003-01-29 15:36:29,100.0,7.09,US1747401008,New York Stock Exchange (NYSE),USD,709.0,Trading,CHF_USD,0.920937514389649,1.0
9,9,131,200341,ALTRIA GROUP ORD,SHARE,Sell,S,2003-01-29 17:47:48,50.0,37.07,US02209S1033,New York Stock Exchange (NYSE),USD,1853.5,Trading,CHF_USD,0.920852709609098,1.0
10,10,132,200341,ORACLE ORD,SHARE,Sell,S,2003-01-29 17:49:36,200.0,11.76,US68389X1054,NASDAQ New York,USD,2352.0,Trading,CHF_USD,0.921404220031328,1.0
11,11,136,200341,GILDEMEISTER AG O.N.,SHARE,Buy,B,2003-02-18 19:42:49,500.0,3.83,DE0005878003,Xetra,EUR,1915.0,Trading,CHF_EUR,1.0,1.0691
12,12,137,200341,GILDEMEISTER AG O.N.,SHARE,Sell,S,2003-02-18 19:46:41,500.0,3.79,DE0005878003,Xetra,EUR,1895.0,Trading,CHF_EUR,1.0,1.0689
13,13,138,200341,BNP PARIBAS ACT.A ORD,SHARE,Buy,B,2003-03-03 15:46:44,10.0,39.43,FR0000131104,Euronext Paris,EUR,394.3,Trading,CHF_EUR,1.0,1.0811
14,14,142,200341,BNP PARIBAS ACT.A ORD,SHARE,Sell,S,2003-03-04 12:43:51,10.0,37.96,FR0000131104,Euronext Paris,EUR,379.6,Trading,CHF_EUR,1.0,1.0906
15,15,145,200341,BNP PARIBAS ACT.A ORD,SHARE,Buy,B,2003-03-12 15:57:57,10.0,33.33,FR0000131104,Euronext Paris,EUR,333.3,Trading,CHF_EUR,1.0,1.1012
16,16,148,200341,BOUYGUES ORD,SHARE,Buy,B,2003-03-12 17:04:08,50.0,16.99,FR0000120503,Euronext Paris,EUR,849.5,Trading,CHF_EUR,1.0,1.1019
17,17,158,200341,BNP PARIBAS ACT.A ORD,SHARE,Sell,S,2003-04-04 14:29:28,10.0,40.58,FR0000131104,Euronext Paris,EUR,405.8,Trading,CHF_EUR,1.0,1.0723
18,18,162,200341,SAP AG ST O.N.,SHARE,Buy,B,2003-04-04 15:00:14,10.0,73.56,DE0007164600,Xetra,EUR,735.6,Trading,CHF_EUR,1.0,1.0722
19,19,166,200341,SAP AG ST O.N.,SHARE,Sell,S,2003-04-16 09:15:35,10.0,92.0,DE0007164600,Xetra,EUR,920.0,Trading,CHF_EUR,1.0,1.08335
